query,vol,kd,kd_source,priority,score,pillar,role,compliance,ai_overview,serp_verdict,coverage_status,primary_article_slug,sources
gamma gt high,2400,9,dfs,3,6,,spoke,,,,,,backlog
what is haemoglobin blood test,2400,24,dfs,3,4,D,spoke,,,,,,backlog
inflammation marker blood test,2400,27,dfs,3,5,G,commercial,,,,,,backlog
blood test mchc low,2400,0,dfs,3,6,D,spoke,,,,,,backlog
cholesterol measurement kit,2400,11,dfs,3,5,I,spoke,,,,,,backlog
vitamin d blood test,2400,15,dfs,3,6,pillar-A,commercial,medium,,,,,csv
inflammatory markers blood test,2400,22,dfs,3,5,pillar-G,commercial,medium,,,published,pillar-G-hub-inflammatory-markers-blood-test,csv
inflammation in the body,2400,25,dfs,3,4,pillar-G,spoke,medium,,,planned,,csv
collagen for men,2400,6,dfs,3,6,supplement-collagen,spoke,low,,,unassigned,,csv
what does a full blood count show,2400,26,dfs,3,4,D,spoke,,,,,,discovery
what does a full blood count test show,2400,26,dfs,3,5,D,commercial,,,,,,discovery
hba1c chart conversion,2400,21,dfs,3,4,I,spoke,,,,,,discovery
hba1c converter chart,2400,5,dfs,3,6,I,spoke,,,,,,discovery
how long blood test results,2400,0,dfs,3,6,,spoke,,,,,,discovery
test level check,1900,2,dfs,3,6,,commercial,,,,,,backlog
testing levels of testosterone,1900,9,dfs,3,5,C,spoke,gate,,,,,backlog
testosterone check kit,1900,0,dfs,3,5,C,spoke,gate,,,,,backlog
testosterone level check,1900,14,dfs,3,4,C,spoke,gate,,,,,backlog
testosterone testing kit,1900,0,dfs,3,5,C,spoke,gate,,,,,backlog
testosterone testing uk,1900,0,dfs,3,5,C,spoke,gate,,,,,backlog
testosterone test uk,1900,0,dfs,3,5,lp-testosterone,spoke,gate,,,,,backlog+csv
checking test levels,1900,10,dfs,3,6,,commercial,,,,,,backlog
cortisol levels test,1900,5,dfs,3,6,cortisol,commercial,,,,,,backlog
insulin resistance test,1900,0,dfs,3,6,,commercial,,,,,,backlog
cortisol levels check,1900,12,dfs,3,4,cortisol,spoke,,,,,,backlog
gene methylation test,1900,0,dfs,3,6,,commercial,,,,,,backlog
genetic methylation test,1900,2,dfs,3,6,,commercial,,,,,,backlog
methylation gene testing,1900,0,dfs,3,5,,spoke,,,,,,backlog
do eggs contain iron,1900,12,dfs,3,4,,spoke,,,,,,backlog
vitamin deficiency check,1900,0,dfs,3,5,A,spoke,,,,,,backlog
vitamins deficiency test,1900,1,dfs,3,6,,commercial,,,,,,backlog
food of energy,1900,13,dfs,3,4,B,spoke,,,,,,backlog
peripheral blood test,1900,0,dfs,3,6,,commercial,,,,,,backlog
what is lab test mch,1900,11,dfs,3,4,D,spoke,,,,,,backlog
mean platelet value,1900,4,dfs,3,5,D,spoke,,,,,,backlog
blood film,1900,0,dfs,3,5,,spoke,,,,,,backlog
